Timestamp,What is your favorite color?,Gender?,What is your age? (Optional),What is your Myers-Briggs Type? (Optional)
12/27/2016 10:53:47,Blue,Male,20,
12/27/2016 10:54:22,Violet,Female,26,
12/27/2016 10:54:56,,Male,22,INTJ
12/27/2016 10:55:05,Cyan,Male,22,
12/27/2016 10:55:22,Blue,Male,22,INTJ
12/27/2016 10:55:55,Blue,Male,15,
12/27/2016 10:56:02,Green,Female,22,ISFP
12/27/2016 10:57:01,,Male,20,INTP
12/27/2016 10:58:02,Green,Female,22,INTJ
12/27/2016 10:59:28,Violet,Female,28,ESFP
12/27/2016 11:00:10,,,,
12/27/2016 11:00:14,Violet,Female,27,INTJ
12/27/2016 11:01:24,Violet,Male,23,
12/27/2016 11:02:23,Violet,Female,23,ENTJ
12/27/2016 11:02:25,Cyan,Female,22,
12/27/2016 11:02:25,,,,ESFP
12/27/2016 11:02:30,Violet,Female,29,ESTJ
12/27/2016 11:03:49,,Female,25,ENTJ
12/27/2016 11:03:51,Green,Troll,42,INTJ
12/27/2016 11:04:18,Green,Female,25,ENTJ
12/27/2016 11:04:48,Blue,Other,17,INTJ
12/27/2016 11:05:27,Pink,Female,25,
12/27/2016 11:06:46,Red,Male,20,
12/27/2016 11:06:58,Green,Male,18,INFJ
12/27/2016 11:08:09,Blue,Female,18,INTJ
12/27/2016 11:10:04,,,,
12/27/2016 11:11:02,Green,Female,31,INTJ
12/27/2016 11:11:57,Orange,Male,,
12/27/2016 11:13:11,Red,Male,19,INTP
12/27/2016 11:13:27,Yellow,Male,21,
12/27/2016 11:13:40,Troll,Male,,
12/27/2016 11:13:42,Cyan,Female,17,ENFJ
12/27/2016 11:13:57,Violet,Male,28,
12/27/2016 11:14:00,Troll,Female,,
12/27/2016 11:14:19,Troll,Male,,
12/27/2016 11:14:30,Blue,Female,,ENTP
12/27/2016 11:14:31,Blue,Female,25,
12/27/2016 11:14:36,Troll,Female,33,ENFJ
12/27/2016 11:15:36,,Male,34,
12/27/2016 11:15:37,Green,Male,,
12/27/2016 11:16:52,Red,Female,20,ENTP
12/27/2016 11:17:28,Pink,Female,24,
12/27/2016 11:17:33,Blue,Male,20,
12/27/2016 11:17:41,Blue,Female,16,INTP
12/27/2016 11:17:54,Red,Male,17,
12/27/2016 11:18:45,Orange,Female,20,INFJ
12/27/2016 11:19:31,Green,Female,34,
12/27/2016 11:19:38,Green,Female,24,
12/27/2016 11:19:57,Blue,Male,20,
12/27/2016 11:21:20,Blue,Male,19,
12/27/2016 11:21:58,Blue,Male,27,ENFP
12/27/2016 11:22:11,Violet,Female,31,
12/27/2016 11:24:30,Cyan,Female,25,INTJ
12/27/2016 11:25:46,Blue,Female,23,
12/27/2016 11:27:15,Blue,Male,26,
12/27/2016 11:27:33,Blue,Female,,
12/27/2016 11:28:35,Violet,Female,23,
12/27/2016 11:29:12,Blue,Male,19,ESFJ
12/27/2016 11:29:33,Cyan,Male,13,ENFP
12/27/2016 11:29:41,,,,
12/27/2016 11:32:19,Orange,Female,40,
12/27/2016 11:33:54,Orange,Female,37,INFP
12/27/2016 11:33:57,Violet,Male,36,
12/27/2016 11:34:53,Cyan,Male,25,INTP
12/27/2016 11:35:03,Green,Male,19,ISFP
12/27/2016 11:35:54,Troll,Female,20,INFP
12/27/2016 11:36:03,Blue,Male,18,
12/27/2016 11:38:26,Violet,Male,24,INTP
12/27/2016 11:39:43,Cyan,Female,,
12/27/2016 11:40:05,Blue,Male,30,
12/27/2016 11:41:14,Cyan,Male,,
12/27/2016 11:41:20,Red,Female,33,INTJ
12/27/2016 11:41:36,Green,Male,20,ISTP
12/27/2016 11:42:07,Other,Female,22,ENFP
12/27/2016 11:42:30,Red,Male,17,
12/27/2016 11:42:49,Cyan,Male,,
12/27/2016 11:42:51,Red,Male,19,
12/27/2016 11:43:10,Blue,Male,17,
12/27/2016 11:44:11,Troll,Male,76527,
12/27/2016 11:44:32,Cyan,Female,20,ISTJ
12/27/2016 11:46:04,Orange,Male,,
12/27/2016 11:46:25,Yellow,Male,26,
12/27/2016 11:47:17,Green,Female,30,INTP
12/27/2016 11:48:01,Cyan,Male,19,
12/27/2016 11:48:05,,,,
12/27/2016 11:48:13,Green,Female,28,INFJ
12/27/2016 11:48:53,Blue,Female,27,
12/27/2016 11:49:42,Blue,Male,,
12/27/2016 11:49:44,Green,Female,23,INFJ
12/27/2016 11:53:03,Red,Male,22,
12/27/2016 11:53:30,,,,
12/27/2016 11:54:52,Red,Male,23,INFJ
12/27/2016 11:55:01,Blue,Male,27,INFJ
12/27/2016 11:55:11,Red,Male,,
12/27/2016 11:55:12,,Female,36,INTP
12/27/2016 11:55:26,Black,Female,,INTP
12/27/2016 11:55:35,Violet,Female,16,
12/27/2016 11:56:10,,,,
12/27/2016 11:57:08,Violet,Female,24,
12/27/2016 11:57:17,Orange,Male,,INFJ
12/27/2016 11:57:29,,,,
12/27/2016 11:57:39,Black,Female,,
12/27/2016 11:58:24,Green,Male,18,
12/27/2016 11:59:19,,,,
12/27/2016 12:00:03,Blue,Female,,ENFJ
12/27/2016 12:01:37,,,,
12/27/2016 12:01:50,Blue,Female,,
12/27/2016 12:02:24,Green,Male,22,ISTJ
12/27/2016 12:02:51,Blue,Female,25,
12/27/2016 12:02:58,,Male,,
12/27/2016 12:03:29,Orange,Female,21,INTJ
12/27/2016 12:03:51,Green,Male,19,
12/27/2016 12:04:30,Blue,Female,,INFP
12/27/2016 12:04:32,,Female,30,INFP
12/27/2016 12:04:54,Blue,Male,,
12/27/2016 12:06:26,Cyan,Male,16,INTP
12/27/2016 12:06:32,Green,Other,19,ESFJ
12/27/2016 12:07:43,Red,Male,23,
12/27/2016 12:07:51,Violet,Female,26,
12/27/2016 12:08:11,Violet,Female,21,
12/27/2016 12:08:30,Yellow,Female,31,
12/27/2016 12:09:02,,,,
12/27/2016 12:10:12,Violet,Female,26,INTP
12/27/2016 12:11:33,Green,Male,30,INTJ
12/27/2016 12:11:50,Blue,Female,17,INTP
12/27/2016 12:12:13,Blue,Female,16,
12/27/2016 12:12:31,Blue,Male,22,INTJ
12/27/2016 12:13:00,Green,Female,17,ENFP
12/27/2016 12:13:48,Blue,Male,20,
12/27/2016 12:14:01,Orange,Female,,
12/27/2016 12:14:36,Orange,Female,36,INTJ
12/27/2016 12:14:47,Green,Female,,INFP
12/27/2016 12:14:56,Blue,Male,21,ISTJ
12/27/2016 12:15:01,Black,Female,16,ENTP
12/27/2016 12:15:12,,Male,29,ENTP
12/27/2016 12:15:36,Blue,Male,29,ENTP
12/27/2016 12:16:43,,Male,31,ENTP
12/27/2016 12:17:30,Green,Male,33,INTP
12/27/2016 12:17:45,Blue,Male,,
12/27/2016 12:17:59,Green,Female,28,INTP
12/27/2016 12:18:05,,,,
12/27/2016 12:18:10,Blue,Male,18,
12/27/2016 12:18:41,Blue,Female,,INFP
12/27/2016 12:18:57,Brown,Male,23,
12/27/2016 12:19:21,,Male,,INTJ
12/27/2016 12:19:25,Green,Female,25,INTJ
12/27/2016 12:19:39,Blue,Female,32,
12/27/2016 12:20:02,Green,Male,27,INTJ
12/27/2016 12:20:16,,Female,44,
12/27/2016 12:20:59,Orange,Female,44,
12/27/2016 12:21:17,Cyan,Female,29,INTJ
12/27/2016 12:22:40,Violet,Female,36,
12/27/2016 12:22:40,,,,
12/27/2016 12:23:02,Cyan,Female,34,INTJ
12/27/2016 12:24:21,,,,
12/27/2016 12:24:27,Black,Female,,INTP
12/27/2016 12:24:38,Violet,Female,31,INTJ
12/27/2016 12:26:06,,Female,,ENTP
12/27/2016 12:26:37,Blue,Female,,ENTP
12/27/2016 12:27:07,Other,Female,21,INTJ
12/27/2016 12:27:09,,Female,32,
12/27/2016 12:27:25,Violet,Female,32,
12/27/2016 12:27:44,Black,Male,18,
12/27/2016 12:28:33,,Female,24,
12/27/2016 12:29:24,Orange,Female,25,
12/27/2016 12:29:56,Orange,Female,25,INTJ
12/27/2016 12:30:44,Cyan,Female,,
12/27/2016 12:30:49,Blue,Male,21,INFJ
12/27/2016 12:30:55,Brown,Female,,INTJ
12/27/2016 12:31:48,Blue,Female,35,
12/27/2016 12:32:36,Blue,Female,22,
12/27/2016 12:33:38,Green,Male,31,
12/27/2016 12:33:45,,,,
12/27/2016 12:34:05,Green,Male,15,
12/27/2016 12:34:10,Blue,Female,21,
12/27/2016 12:34:19,Blue,Female,15,ENTJ
12/27/2016 12:34:27,Red,Female,22,INTJ
12/27/2016 12:35:27,Red,Female,,INTP
12/27/2016 12:36:26,Red,Male,17,ENFJ
12/27/2016 12:36:28,Green,Male,19,
12/27/2016 12:36:30,Violet,Female,25,
12/27/2016 12:36:33,,,,
12/27/2016 12:37:10,Violet,Female,,INTP
12/27/2016 12:37:30,Red,Female,23,
12/27/2016 12:37:37,Violet,Male,,
12/27/2016 12:38:06,Yellow,Female,25,
12/27/2016 12:38:27,,,,
12/27/2016 12:38:56,Violet,Male,22,INTP
12/27/2016 12:39:26,Orange,Male,18,INTJ
12/27/2016 12:39:40,Green,Female,18,INFP
12/27/2016 12:40:00,Green,Male,22,
12/27/2016 12:40:12,Green,Female,26,
12/27/2016 12:40:55,Green,Male,20,INTJ
12/27/2016 12:41:03,Violet,Female,24,
12/27/2016 12:41:44,,Female,39,INFP
12/27/2016 12:41:56,Red,Female,21,ENFP
12/27/2016 12:42:03,Orange,Female,39,INFP
12/27/2016 12:42:37,Green,Male,25,INTP
12/27/2016 12:43:10,,,,
12/27/2016 12:44:08,Violet,Female,27,INTP
12/27/2016 12:44:27,Blue,Male,21,INTJ
12/27/2016 12:44:31,Green,Male,27,
12/27/2016 12:46:14,Blue,Male,19,
12/27/2016 12:46:32,Red,Male,20,ESFJ
12/27/2016 12:46:47,Green,Male,16,INTP
12/27/2016 12:47:27,Violet,Female,23,INTJ
12/27/2016 12:47:52,Violet,Male,20,INTJ
12/27/2016 12:47:59,Orange,Male,17,INTJ
12/27/2016 12:48:08,Black,Male,20,ISFJ
12/27/2016 12:48:56,Cyan,Female,23,INTJ
12/27/2016 12:49:16,Black,Male,20,INTP
12/27/2016 12:49:58,Green,Male,47,INTJ
12/27/2016 12:50:29,Red,Male,,
12/27/2016 12:51:12,Blue,Male,23,
12/27/2016 12:52:03,,Male,37,
12/27/2016 12:52:12,Green,Male,,
12/27/2016 12:53:28,Other,Female,26,
12/27/2016 12:53:52,Grey,Female,25,
12/27/2016 12:54:11,Green,Male,,
12/27/2016 12:55:10,Red,Female,,
12/27/2016 12:55:16,Cyan,Male,23,ENFP
12/27/2016 12:55:38,Green,Female,20,ISFP
12/27/2016 12:55:54,,,,
12/27/2016 12:56:13,Black,Male,,
12/27/2016 12:56:19,Violet,Female,21,INFJ
12/27/2016 12:58:42,Orange,Male,26,
12/27/2016 12:59:22,Violet,Female,18,INFP
12/27/2016 12:59:39,Green,Male,,INTP
12/27/2016 13:00:01,Troll,Male,22,
12/27/2016 13:00:02,,,,
12/27/2016 13:00:17,,,,
12/27/2016 13:00:19,White,Female,21,INTP
12/27/2016 13:00:22,Green,Female,21,
12/27/2016 13:00:42,Red,Male,,
12/27/2016 13:01:03,Cyan,Female,20,INTJ
12/27/2016 13:02:23,,Female,28,INTP
12/27/2016 13:02:29,Red,Female,,INTJ
12/27/2016 13:02:41,,,,
12/27/2016 13:02:42,Cyan,Female,24,INFP
12/27/2016 13:03:20,Orange,Male,21,
12/27/2016 13:04:23,Green,Female,,INFP
12/27/2016 13:05:04,Green,Female,22,
12/27/2016 13:05:05,Red,Female,19,INTJ
12/27/2016 13:05:09,Blue,Male,19,ISFJ
12/27/2016 13:06:07,,,,
12/27/2016 13:06:57,Blue,Male,28,INTJ
12/27/2016 13:07:31,Blue,Male,24,ENTJ
12/27/2016 13:08:08,Green,Female,35,INTP
12/27/2016 13:08:08,Magenta,Male,18,
12/27/2016 13:08:26,Violet,Female,27,
12/27/2016 13:08:26,Blue,Male,21,ENFP
12/27/2016 13:08:45,Orange,Male,20,
12/27/2016 13:09:25,Violet,Female,21,INTP
12/27/2016 13:09:43,Orange,Male,23,INTJ
12/27/2016 13:10:27,Blue,Female,31,INFJ
12/27/2016 13:11:02,,,,
12/27/2016 13:11:19,Yellow,Male,,
12/27/2016 13:11:29,Other,Female,,
12/27/2016 13:12:09,Green,Female,20,ESFP
12/27/2016 13:13:37,Green,Female,,
12/27/2016 13:14:18,,Male,31,INFP
12/27/2016 13:14:24,,,,
12/27/2016 13:14:45,Green,Male,31,INFP
12/27/2016 13:14:54,Blue,Female,26,ISTJ
12/27/2016 13:16:31,Cyan,Male,23,
12/27/2016 13:16:48,Blue,Male,19,
12/27/2016 13:17:07,Green,Male,21,
12/27/2016 13:18:59,Cyan,Male,15,
12/27/2016 13:19:10,Cyan,Male,23,
12/27/2016 13:19:24,Blue,Male,31,ISTP
12/27/2016 13:21:05,Blue,Male,28,INFJ
12/27/2016 13:22:15,Green,Male,34,INTP
12/27/2016 13:24:48,,,,
12/27/2016 13:26:59,Cyan,Female,37,
12/27/2016 13:27:07,,,,
12/27/2016 13:27:08,Cyan,Male,20,ISTP
12/27/2016 13:32:27,Blue,Female,22,INTJ
12/27/2016 13:32:33,Violet,Female,27,
12/27/2016 13:32:43,,Male,20,ENTP
12/27/2016 13:33:09,Pink,Male,26,INTP
12/27/2016 13:33:21,Green,Male,21,INTJ
